date,cases,tests,hospitalizations,deaths,vaccinations,cases_7day_avg,tests_7day_avg,hospitalizations_7day_avg,deaths_7day_avg,vaccinations_7day_avg,positivity_rate,positivity_rate_7day_avg,cases_wow_change,cases_wow_pct,tests_wow_change,tests_wow_pct,hospitalizations_wow_change,hospitalizations_wow_pct,deaths_wow_change,deaths_wow_pct,vaccinations_wow_change,vaccinations_wow_pct,cases_cumulative,deaths_cumulative,vaccinations_cumulative
2020-03-01,87.0,1131,53.0,5,516,87.0,1131.0,53.0,5.0,516.0,7.6923076923076925,7.6923076923076925,,0.0,,0.0,,0.0,,0.0,,0.0,87.0,5,516
2020-03-02,113.0,886,54.0,7,537,100.0,1008.5,53.5,6.0,526.5,12.75395033860045,10.223129015454072,,0.0,,0.0,,0.0,,0.0,,0.0,200.0,12,1053
2020-03-03,112.0,1094,57.0,3,516,104.0,1037.0,54.666666666666664,5.0,523.0,10.23765996343693,10.22797266478169,,0.0,,0.0,,0.0,,0.0,,0.0,312.0,15,1569
2020-03-04,111.0,962,53.0,8,547,105.75,1018.25,54.25,5.75,529.0,11.538461538461538,10.555594883201653,,0.0,,0.0,,0.0,,0.0,,0.0,423.0,23,2116
2020-03-05,114.0,1072,23.0,2,506,107.4,1029.0,48.0,5.0,524.4,10.634328358208956,10.571341578203114,,0.0,,0.0,,0.0,,0.0,,0.0,537.0,25,2622
2020-03-06,0.0,984,37.0,4,505,89.5,1021.5,46.166666666666664,4.833333333333333,521.1666666666666,0.0,8.80945131516926,,0.0,,0.0,,0.0,,0.0,,0.0,537.0,29,3127
2020-03-07,87.0,969,49.0,7,535,89.14285714285714,1014.0,46.57142857142857,5.142857142857143,523.1428571428571,8.978328173374612,8.833576580627168,,0.0,,0.0,,0.0,,0.0,,0.0,624.0,36,3662
2020-03-08,109.0,1061,45.0,5,551,92.28571428571429,1004.0,45.42857142857143,5.142857142857143,528.1428571428571,10.273327049952876,9.20229363171934,22.0,25.287356321839084,-70.0,-6.18921308576481,-8.0,-15.09433962264151,0.0,0.0,35.0,6.782945736434108,733.0,41,4213
2020-03-09,111.0,949,43.0,3,496,92.0,1013.0,43.857142857142854,4.571428571428571,522.2857142857143,11.696522655426765,9.051232534123098,-2.0,-1.7699115044247788,63.0,7.1106094808126405,-11.0,-20.37037037037037,-4.0,-57.14285714285714,-41.0,-7.635009310986965,844.0,44,4709
2020-03-10,105.0,990,50.0,5,507,91.0,998.1428571428571,42.857142857142854,4.857142857142857,521.0,10.606060606060606,9.103861197355053,-7.0,-6.25,-104.0,-9.506398537477148,-7.0,-12.280701754385964,2.0,66.66666666666666,-9.0,-1.744186046511628,949.0,49,5216
2020-03-11,87.0,993,35.0,7,518,87.57142857142857,1002.5714285714286,40.285714285714285,4.714285714285714,516.8571428571429,8.761329305135952,8.707128021165683,-24.0,-21.62162162162162,31.0,3.2224532224532227,-18.0,-33.9622641509434,-1.0,-12.5,-29.0,-5.301645338208409,1036.0,56,5734
2020-03-12,122.0,1077,46.0,3,495,88.71428571428571,1003.2857142857143,43.57142857142857,4.857142857142857,515.2857142857143,11.327762302692665,8.806190013234787,8.0,7.017543859649122,5.0,0.46641791044776115,23.0,100.0,1.0,50.0,-11.0,-2.1739130434782608,1158.0,59,6229
2020-03-13,136.0,1031,48.0,8,494,108.14285714285714,1010.0,45.142857142857146,5.428571428571429,513.7142857142857,13.191076624636274,10.690629531039969,136.0,inf,47.0,4.776422764227642,11.0,29.72972972972973,4.0,100.0,-11.0,-2.178217821782178,1294.0,67,6723
2020-03-14,118.0,1093,39.0,6,453,112.57142857142857,1027.7142857142858,43.714285714285715,5.285714285714286,502.0,10.79597438243367,10.950293275191262,31.0,35.63218390804598,124.0,12.796697626418988,-10.0,-20.408163265306122,-1.0,-14.285714285714285,-82.0,-15.327102803738319,1412.0,73,7176
2020-03-15,134.0,986,62.0,4,506,116.14285714285714,1017.0,46.142857142857146,5.142857142857143,495.57142857142856,13.590263691683571,11.424141366867076,25.0,22.93577981651376,-75.0,-7.0688030160226205,17.0,37.77777777777778,-1.0,-20.0,-45.0,-8.166969147005444,1546.0,77,7682
2020-03-16,109.0,1045,49.0,6,473,115.85714285714286,1030.7142857142858,47.0,5.571428571428571,492.2857142857143,10.430622009569378,11.243298417458877,-2.0,-1.8018018018018018,96.0,10.1159114857745,6.0,13.953488372093023,3.0,100.0,-23.0,-4.637096774193548,1655.0,83,8155
2020-03-17,95.0,1100,49.0,3,549,114.42857142857143,1046.4285714285713,46.857142857142854,5.285714285714286,498.2857142857143,8.636363636363637,10.961913136073596,-10.0,-9.523809523809524,110.0,11.11111111111111,-1.0,-2.0,-2.0,-40.0,42.0,8.284023668639055,1750.0,86,8704
2020-03-18,112.0,965,31.0,7,492,118.0,1042.4285714285713,46.285714285714285,5.285714285714286,494.57142857142856,11.606217616580311,11.368325751994218,25.0,28.735632183908045,-28.0,-2.8197381671701915,-4.0,-11.428571428571429,0.0,0.0,-26.0,-5.019305019305019,1862.0,93,9196
2020-03-19,102.0,1047,37.0,7,476,115.14285714285714,1038.142857142857,45.0,5.857142857142857,491.85714285714283,9.742120343839542,11.141805472158058,-20.0,-16.39344262295082,-30.0,-2.785515320334262,-9.0,-19.565217391304348,4.0,133.33333333333331,-19.0,-3.8383838383838382,1964.0,100,9672
2020-03-20,80.0,962,54.0,8,507,107.14285714285714,1028.2857142857142,45.857142857142854,5.857142857142857,493.7142857142857,8.316008316008316,10.445367142354067,-56.0,-41.17647058823529,-69.0,-6.692531522793405,6.0,12.5,0.0,0.0,13.0,2.631578947368421,2044.0,108,10179
2020-03-21,99.0,1050,66.0,5,504,104.42857142857143,1022.1428571428571,49.714285714285715,5.714285714285714,501.0,9.428571428571429,10.25002386323089,-19.0,-16.101694915254235,-43.0,-3.9341262580054894,27.0,69.23076923076923,-1.0,-16.666666666666664,51.0,11.258278145695364,2143.0,113,10683
2020-03-22,76.0,1084,48.0,4,467,96.14285714285714,1036.142857142857,47.714285714285715,5.714285714285714,495.42857142857144,7.011070110701106,9.31013906594768,-58.0,-43.28358208955223,98.0,9.939148073022313,-14.0,-22.58064516129032,0.0,0.0,-39.0,-7.707509881422925,2219.0,117,11150
2020-03-23,86.0,1083,43.0,5,532,92.85714285714286,1041.5714285714287,46.857142857142854,5.571428571428571,503.85714285714283,7.940904893813482,8.954465192268268,-23.0,-21.100917431192663,38.0,3.6363636363636362,-6.0,-12.244897959183673,-1.0,-16.666666666666664,59.0,12.473572938689218,2305.0,122,11682
2020-03-24,69.0,953,49.0,3,504,89.14285714285714,1020.5714285714286,46.857142857142854,5.571428571428571,497.42857142857144,7.240293809024134,8.755026645505481,-26.0,-27.368421052631582,-147.0,-13.363636363636363,0.0,0.0,0.0,0.0,-45.0,-8.19672131147541,2374.0,125,12186
2020-03-25,78.0,947,28.0,8,502,84.28571428571429,1018.0,46.42857142857143,5.714285714285714,498.85714285714283,8.236536430834214,8.273643618970326,-34.0,-30.357142857142854,-18.0,-1.865284974093264,-3.0,-9.67741935483871,1.0,14.285714285714285,10.0,2.0325203252032518,2452.0,133,12688
2020-03-26,80.0,1071,58.0,9,499,81.14285714285714,1021.4285714285714,49.42857142857143,6.0,502.14285714285717,7.469654528478058,7.949005645347256,-22.0,-21.568627450980394,24.0,2.292263610315186,21.0,56.75675675675676,2.0,28.57142857142857,23.0,4.831932773109244,2532.0,142,13187
2020-03-27,112.0,995,53.0,4,453,85.71428571428571,1026.142857142857,49.285714285714285,5.428571428571429,494.42857142857144,11.256281407035177,8.369044658351093,32.0,40.0,33.0,3.4303534303534304,-1.0,-1.8518518518518516,-4.0,-50.0,-54.0,-10.650887573964498,2644.0,146,13640
2020-03-28,99.0,1015,71.0,3,506,85.71428571428571,1021.1428571428571,50.0,5.142857142857143,494.7142857142857,9.753694581280788,8.415490823023859,0.0,0.0,-35.0,-3.3333333333333335,5.0,7.575757575757576,-2.0,-40.0,2.0,0.3968253968253968,2743.0,149,14146
2020-03-29,93.0,934,45.0,5,514,88.14285714285714,999.7142857142857,49.57142857142857,5.285714285714286,501.42857142857144,9.957173447537473,8.836362728286197,17.0,22.36842105263158,-150.0,-13.837638376383765,-3.0,-6.25,1.0,25.0,47.0,10.06423982869379,2836.0,154,14660
2020-03-30,65.0,959,46.0,6,485,85.14285714285714,982.0,50.0,5.428571428571429,494.7142857142857,6.777893639207508,8.670218263342488,-21.0,-24.418604651162788,-124.0,-11.449676823638043,3.0,6.976744186046512,1.0,20.0,-47.0,-8.834586466165414,2901.0,160,15145
2020-03-31,90.0,1077,51.0,3,498,88.14285714285714,999.7142857142857,50.285714285714285,5.428571428571429,493.85714285714283,8.356545961002785,8.829682856482293,21.0,30.434782608695656,124.0,13.011542497376706,2.0,4.081632653061225,0.0,0.0,-6.0,-1.1904761904761905,2991.0,163,15643
2020-04-01,103.0,843,73.0,8,506,91.71428571428571,984.8571428571429,56.714285714285715,5.428571428571429,494.42857142857144,12.218268090154211,9.398501664956578,25.0,32.05128205128205,-104.0,-10.982048574445617,45.0,160.71428571428572,0.0,0.0,4.0,0.796812749003984,3094.0,171,16149
2020-04-02,105.0,978,42.0,7,532,95.28571428571429,971.5714285714286,54.42857142857143,5.142857142857143,499.14285714285717,10.736196319018406,9.865150492176626,25.0,31.25,-93.0,-8.683473389355742,-16.0,-27.586206896551722,-2.0,-22.22222222222222,33.0,6.613226452905812,3199.0,178,16681
2020-04-03,134.0,974,67.0,2,501,98.42857142857143,968.5714285714286,56.42857142857143,4.857142857142857,506.0,13.75770020533881,10.222496034791432,22.0,19.642857142857142,-21.0,-2.1105527638190953,14.0,26.41509433962264,-2.0,-50.0,48.0,10.596026490066226,3333.0,180,17182
2020-04-04,107.0,1066,58.0,7,487,99.57142857142857,975.8571428571429,54.57142857142857,5.428571428571429,503.2857142857143,10.037523452157599,10.263043016345263,8.0,8.080808080808081,51.0,5.024630541871921,-13.0,-18.30985915492958,4.0,133.33333333333331,-19.0,-3.7549407114624502,3440.0,187,17669
2020-04-05,101.0,964,47.0,4,491,100.71428571428571,980.1428571428571,54.857142857142854,5.285714285714286,500.0,10.477178423236515,10.337329441445124,8.0,8.60215053763441,30.0,3.2119914346895073,2.0,4.444444444444445,-1.0,-20.0,-23.0,-4.474708171206226,3541.0,191,18160
2020-04-06,0.0,1005,51.0,5,537,91.42857142857143,986.7142857142857,55.57142857142857,5.142857142857143,507.42857142857144,0.0,9.369058921558338,-65.0,-100.0,46.0,4.796663190823774,5.0,10.869565217391305,-1.0,-16.666666666666664,52.0,10.721649484536082,3541.0,196,18697
2020-04-07,116.0,957,0.0,5,547,95.14285714285714,969.5714285714286,48.285714285714285,5.428571428571429,514.4285714285714,12.121212121212121,9.906868373016817,26.0,28.888888888888886,-120.0,-11.142061281337048,-51.0,-100.0,2.0,66.66666666666666,49.0,9.839357429718875,3657.0,201,19244
